id,image_url,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,video_url,views
109,http://static-media.fxx.com/img/FX_Networks_-_FXX/23/835/Simpsons_06_05.jpg,9,1690,6,109,30/10/1994,1994,2F03,6,Treehouse of Horror V,22.2,http://www.simpsonsworld.com/video/299597891663,119295
108,http://static-media.fxx.com/img/FX_Networks_-_FXX/813/622/Simpsons_06_04.jpg,8.3,1142,5,108,09/10/1994,1994,2F02,6,Sideshow Bob Roberts,14.4,http://www.simpsonsworld.com/video/275729987504,76932
107,http://static-media.fxx.com/img/FX_Networks_-_FXX/271/1022/Simpsons_06_03__786954.jpg,8.5,1277,4,107,02/10/1994,1994,2F01,6,Itchy & Scratchy Land,14.8,http://www.simpsonsworld.com/video/283752003577,72722
106,http://static-media.fxx.com/img/FX_Networks_-_FXX/268/379/Simpsons_06_25.jpg,6,1051,3,106,25/09/1994,1994,2F33,6,Another Simpsons Clip Show,13.5,http://www.simpsonsworld.com/video/300928067775,42576
105,http://static-media.fxx.com/img/FX_Networks_-_FXX/678/635/Lisas_Rival.jpg,8.1,1156,2,105,11/09/1994,1994,1F17,6,Lisa's Rival,16.7,http://www.simpsonsworld.com/video/278809667691,54225
104,http://static-media.fxx.com/img/FX_Networks_-_FXX/265/950/Bart_Darnkess.jpg,8.6,1330,1,104,04/09/1994,1994,1F22,6,Bart of Darkness,15.1,http://www.simpsonsworld.com/video/300925507538,65126
103,http://static-media.fxx.com/img/FX_Networks_-_FXX/522/803/Simpsons_05_21__042261.jpg,8,1060,22,103,19/05/1994,1994,1F20,5,Secrets of a Successful Marriage,15.6,http://www.simpsonsworld.com/video/279720003973,67959
102,http://static-media.fxx.com/img/FX_Networks_-_FXX/706/62/Simpsons_05_22.jpg,7.5,1014,21,102,12/05/1994,1994,1F21,5,Lady Bouvier's Lover,15.1,http://www.simpsonsworld.com/video/305681987583,59503
101,http://static-media.fxx.com/img/FX_Networks_-_FXX/665/947/Simpsons_05_20.jpg,8.2,1103,20,101,05/05/1994,1994,1F19,5,The Boy Who Knew Too Much,15.5,http://www.simpsonsworld.com/video/278796355962,74427
100,http://static-media.fxx.com/img/FX_Networks_-_FXX/435/771/Simpsons_05_19.jpg,8.4,1118,19,100,28/04/1994,1994,1F18,5,Sweet Seymour Skinner's Baadasssss Song,19.7,http://www.simpsonsworld.com/video/274260035741,66406
99,http://static-media.fxx.com/img/FX_Networks_-_FXX/267/619/Simpsons_05_18.jpg,8.4,1143,18,99,14/04/1994,1994,1F16,5,Burns' Heir,14.7,http://www.simpsonsworld.com/video/283747395787,81678
98,http://static-media.fxx.com/img/FX_Networks_-_FXX/810/195/Simpsons_05_17.jpg,7.9,1116,17,98,31/03/1994,1994,1F15,5,Bart Gets an Elephant,17,http://www.simpsonsworld.com/video/275726403611,63427
97,http://static-media.fxx.com/img/FX_Networks_-_FXX/83/635/Simpsons_05_16__340809.jpg,8.5,1191,16,97,17/03/1994,1994,1F14,5,Homer Loves Flanders,18,http://www.simpsonsworld.com/video/310398019629,69996
96,http://static-media.fxx.com/img/FX_Networks_-_FXX/804/339/Simpsons_05_15__481014.jpg,8.8,1505,15,96,24/02/1994,1994,1F13,5,Deep Space Homer,18.2,http://www.simpsonsworld.com/video/275720259883,75439
95,http://static-media.fxx.com/img/FX_Networks_-_FXX/435/771/Simpsons_05_14.jpg,8.2,1187,14,95,17/02/1994,1994,1F12,5,Lisa vs. Malibu Stacy,20.5,http://www.simpsonsworld.com/video/274260035625,61715
94,http://static-media.fxx.com/img/FX_Networks_-_FXX/519/875/Simpsons_05_12.jpg,8.3,1171,13,94,10/02/1994,1994,1F10,5,Homer and Apu,21.8,http://www.simpsonsworld.com/video/279716931614,58716
93,http://static-media.fxx.com/img/FX_Networks_-_FXX/1019/279/Simpsons_05_13.jpg,8.1,1123,12,93,03/02/1994,1994,1F11,5,Bart Gets Famous,20,http://www.simpsonsworld.com/video/302789187885,66267
92,http://static-media.fxx.com/img/FX_Networks_-_FXX/702/159/Simpsons_05_11.jpg,8.2,1202,11,92,06/01/1994,1994,1F09,5,Homer the Vigilante,20.1,http://www.simpsonsworld.com/video/305677891810,74673
91,http://static-media.fxx.com/img/FX_Networks_-_FXX/684/590/Simpsons_05_10.jpg,8.5,1274,10,91,16/12/1993,1993,1F08,5,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)",17.9,http://www.simpsonsworld.com/video/305659459565,82216
90,http://static-media.fxx.com/img/FX_Networks_-_FXX/309/219/Simpsons_05_09.jpg,8.4,1308,9,90,09/12/1993,1993,1F07,5,The Last Temptation of Homer,20.6,http://www.simpsonsworld.com/video/275201091952,59350
89,http://static-media.fxx.com/img/FX_Networks_-_FXX/280/1003/Simpsons_05_08.jpg,8.7,1270,8,89,18/11/1993,1993,1F06,5,Boy-Scoutz 'n the Hood,20.1,http://www.simpsonsworld.com/video/288056387698,83238
88,http://static-media.fxx.com/img/FX_Networks_-_FXX/310/695/Simpsons_05_07.jpg,7.7,1085,7,88,11/11/1993,1993,1F05,5,Bart's Inner Child,18.7,http://www.simpsonsworld.com/video/275202627817,74139
87,http://static-media.fxx.com/img/FX_Networks_-_FXX/546/662/Simpsons_05_05.jpg,8,1132,6,87,04/11/1993,1993,1F03,5,Marge on the Lam,21.7,http://www.simpsonsworld.com/video/294777411510,53490
86,http://static-media.fxx.com/img/FX_Networks_-_FXX/314/99/Simpsons_05_06.jpg,8.7,1437,5,86,28/10/1993,1993,1F04,5,Treehouse of Horror IV,24,http://www.simpsonsworld.com/video/275206211805,110251
85,http://static-media.fxx.com/img/FX_Networks_-_FXX/517/423/Simpsons_05_03.jpg,8.9,1479,4,85,21/10/1993,1993,1F01,5,Rosebud,19.5,http://www.simpsonsworld.com/video/279714371653,57149
84,http://static-media.fxx.com/img/FX_Networks_-_FXX/146/751/Simpsons_05_04.jpg,8.6,1476,3,84,14/10/1993,1993,1F02,5,Homer Goes to College,18.1,http://www.simpsonsworld.com/video/280399427649,64802
83,http://static-media.fxx.com/img/FX_Networks_-_FXX/699/231/Simpsons_05_02__845470.jpg,9,2010,2,83,07/10/1993,1993,9F22,5,Cape Feare,20,http://www.simpsonsworld.com/video/305674819788,65585
82,http://static-media.fxx.com/img/FX_Networks_-_FXX/698/755/Simpsons_05_01__100677.jpg,8.4,1416,1,82,30/09/1993,1993,9F21,5,Homer's Barbershop Quartet,19.9,http://www.simpsonsworld.com/video/305674307809,58390
